SampleID,Tissue,Factor,Condition,Treatment,Batch,Replicate,bamReads,ControlID,bamControl,Peaks,PeakCaller
HS_1,DG,H3K27ac,CFC,HDACi,1,1,./files/5_bam_mapq/HDACi1_CFC_H3K27ac_sorted.rmdup.bam,HS_1c,./files/5_bam_mapq/HDACi1_CFC_input_sorted.rmdup.bam,../1_alignment/peakcalls/HDACi1_CFC_peaks.broadPeak,bed
HC_1,DG,H3K27ac,Context,HDACi,2,1,./files/5_bam_mapq/HDACi1_Context_H3K27ac_sorted.rmdup.bam,HC_1c,./files/5_bam_mapq/HDACi1_Context_input_sorted.rmdup.bam,./files/HDACi1_Context_peaks.broadPeak,bed
HS_2,DG,H3K27ac,CFC,HDACi,1,2,./files/5_bam_mapq/HDACi2_CFC_H3K27ac_sorted.rmdup.bam,HS_2c,./files/5_bam_mapq/HDACi2_CFC_input_sorted.rmdup.bam,./files/HDACi2_CFC_peaks.broadPeak,bed
HC_2,DG,H3K27ac,Context,HDACi,2,2,./files/5_bam_mapq/HDACi2_Context_H3K27ac_sorted.rmdup.bam,HC_2c,./files/5_bam_mapq/HDACi2_Context_input_sorted.rmdup.bam,./files/HDACi2_Context_peaks.broadPeak,bed
HS_3,DG,H3K27ac,CFC,HDACi,1,3,./files/5_bam_mapq/HDACi3_CFC_H3K27ac_sorted.rmdup.bam,HS_3c,./files/5_bam_mapq/HDACi3_CFC_input_sorted.rmdup.bam,./files/HDACi3_CFC_peaks.broadPeak,bed
HC_3,DG,H3K27ac,Context,HDACi,2,3,./files/5_bam_mapq/HDACi3_Context_H3K27ac_sorted.rmdup.bam,HC_3c,./files/5_bam_mapq/HDACi3_Context_input_sorted.rmdup.bam,./files/HDACi3_Context_peaks.broadPeak,bed
VS_1,DG,H3K27ac,CFC,Veh,1,1,./files/5_bam_mapq/Veh1_CFC_H3K27ac_sorted.rmdup.bam,VS_1c,./files/5_bam_mapq/Veh1_CFC_input_sorted.rmdup.bam,./files/Veh1_CFC_peaks.broadPeak,bed
VC_1,DG,H3K27ac,Context,Veh,2,1,./files/5_bam_mapq/Veh1_Context_H3K27ac_sorted.rmdup.bam,VC_1c,./files/5_bam_mapq/Veh1_Context_input_sorted.rmdup.bam,./files/Veh1_Context_peaks.broadPeak,bed
VS_2,DG,H3K27ac,CFC,Veh,1,2,./files/5_bam_mapq/Veh2_CFC_H3K27ac_sorted.rmdup.bam,VS_2c,./files/5_bam_mapq/Veh2_CFC_input_sorted.rmdup.bam,./files/Veh2_CFC_peaks.broadPeak,bed
VC_2,DG,H3K27ac,Context,Veh,2,2,./files/5_bam_mapq/Veh2_Context_H3K27ac_sorted.rmdup.bam,VC_2c,./files/5_bam_mapq/Veh2_Context_input_sorted.rmdup.bam,./files/Veh2_Context_peaks.broadPeak,bed
VS_3,DG,H3K27ac,CFC,Veh,1,3,./files/5_bam_mapq/Veh3_CFC_H3K27ac_sorted.rmdup.bam,VS_3c,./files/5_bam_mapq/Veh3_CFC_input_sorted.rmdup.bam,./files/Veh3_CFC_peaks.broadPeak,bed
VC_3,DG,H3K27ac,Context,Veh,2,3,./files/5_bam_mapq/Veh3_Context_H3K27ac_sorted.rmdup.bam,VC_3c,./files/5_bam_mapq/Veh3_Context_input_sorted.rmdup.bam,./files/Veh3_Context_peaks.broadPeak,bed
